Location,Lat,Long
Lismore & Far North Coast,-28.8093154,153.2882876
Yarra Valley & High Country,-37.73333,145.6833
Mackay & Coalfields,-21.1536931,149.166453
Yorke Peninsula & Clare Valley,-33.96279,137.712723
Manawatu,-40.1469349,175.684578
Mandurah & Peel,-32.5361038,115.7424077
Marlborough,-41.57269,173.4216613
Melbourne,-37.8136276,144.9630576
Mildura & Murray,-34.2080167,142.1245535
Mornington Peninsula &amp; Bass Coast,-38.5087582,145.5358152
Mt Gambier & Limestone Coast,-37.8284212,140.7803529
Mt Isa & Western QLD,-20.7287768,139.4974496
Bairnsdale & Gippsland,-37.833333,147.616667
"Newcastle, Maitland & Hunter",-32.7383988,151.5492182
Ballarat & Central Highlands,-37.5581412,143.8558981
Northam & Wheatbelt,-31.6478698,116.6742108
Bay of Plenty,-37.689269,177.1422895
Northern QLD,-20.7722295,144.7851531
"Bendigo, Goldfields & Macedon Ranges",-36.748907,144.279678
Northland,-34.823725,138.599482
Blue Mountains & Central West,-33.409983,150.3037323
Otago,-45.4790671,170.1547567
Brisbane,-27.4697707,153.0251235
Perth,-31.9505269,115.8604572
Broome & Kimberley,-17.9644291,122.2303657
Bunbury & South West,-33.3209971,115.6383482
Bundaberg & Wide Bay Burnett,-24.8678826,152.3491301
Cairns & Far North,-16.9185514,145.7780548
ACT,-35.4734679,149.0123679
Adelaide,-34.9284989,138.6007456
Adelaide Hills & Barossa,-34.5333,138.95
Albany & Great Southern,-35.0288266,117.8808603
Albury Area,-36.0737293,146.9135418
Albury Wodonga & Murray,-36.1583417,146.8985944
Alice Springs & Central Australia,-23.698042,133.8807471
Auckland,-36.8484597,174.7633315
"Port Hedland, Karratha & Pilbara",-21.5921,121.5237
Port Macquarie & Mid North Coast,-31.433333,152.9
Richmond & Hawkesbury,-33.6,150.75
Riverland & Murray Mallee,-35.1303073,139.2803707
Canterbury,-33.9126,151.118
Rockhampton & Capricorn Coast,-23.3811656,150.5157543
Central & South East,-34.9254131,138.6014408
Shepparton & Goulburn Valley,-36.383333,145.4
Central & South East TAS,-41.4545196,145.9706647
Somerset & Lockyer,-27.5179079,152.0769306
Coffs Harbour & North Coast,-30.298612,153.1093922
South West Coast VIC,-38.384287,142.483692
Coober Pedy & Outback SA,-29.0157632,134.7547358
Southern Highlands & Tablelands,-34.320913,150.4352346
Darwin,-12.4634403,130.8456418
Southland,-34.856613,138.57071
Devonport & North West,-41.1770585,146.3451775
Dubbo & Central NSW,-32.2315018,148.6329645
Far West & North Central NSW,-30.5512963,141.6834275
Fleurieu Peninsula & Kangaroo Island,-35.5,138.5
Sunshine Coast,-26.65,153.066667
Sydney,-33.8688197,151.2092955
Tamworth & North West NSW,-31.092748,150.9320334
Taranaki,-39.3538149,174.4382721
Geelong & Great Ocean Road,-38.0029099,144.4917919
Tasman,-41.4545196,145.9706647
"Geraldton, Gascoyne & Midwest",-28.7773715,114.6149715
Toowoomba & Darling Downs,-27.5598212,151.9506696
Gisborne,-37.49,144.588889
Townsville & Northern QLD,-19.2589635,146.8169483
Gladstone & Central QLD,-23.8415948,151.2497708
Traralgon & La Trobe Valley,-38.2101317,146.474955
Gold Coast,-28.016667,153.4
"Tumut, Snowy & Monaro",-35.295828,148.221316
Gosford & Central Coast,-33.426667,151.341667
Wagga Wagga & Riverina,-35.1287533,147.3492715
Goulburn & Southern Tablelands,-34.7479181,149.7277447
Hawkes Bay,-39.1089867,176.7416374
Hervey Bay & Fraser Coast,-25.2881539,152.7676633
Hobart,-42.8821377,147.3271949
Waikato,-37.455799,175.1894045
Wellington,-41.2864603,174.776236
West Coast,-42.406418,171.691162
West Gippsland & Latrobe Valley,-38.2381484,146.3953774
Horsham & Grampians,-36.7206158,142.2016583
West Gippsland and Latrobe Valley,-38.2015057,146.5206973
"Kalgoorlie, Goldfields & Esperance",-30.749,121.466
Western QLD,-27.6128133,153.0404327
Katherine & Northern Australia,-14.4521139,132.2715145
Whyalla & Eyre Peninsula,-34.7235009,135.8634812
Launceston & North East,-41.4332215,147.1440875
"Wollongong, Illawarra & South Coast",-34.4232301,150.8902728
